ID,class,conc
ID_100,Group 2,219
ID_101,Group 2,243
ID_102,Group 2,213
ID_103,Group 1,177
ID_104,Group 3,197
ID_105,Group 2,198
ID_106,Group 1,120
ID_107,Group 3,170
ID_108,Group 3,78
ID_109,Group 1,129
ID_110,Group 1,137
ID_111,Group 3,217
ID_112,Group 1,227
ID_113,Group 3,81
ID_114,Group 2,248
ID_115,Group 1,211
ID_116,Group 1,113
ID_117,Group 1,216
ID_118,Group 3,91
ID_119,Group 3,258
ID_120,Group 2,85
ID_121,Group 3,181
ID_122,Group 3,216
ID_123,Group 1,222
ID_124,Group 3,252
ID_125,Group 1,166
ID_126,Group 2,204
ID_127,Group 2,243
ID_128,Group 3,198
ID_129,Group 1,119
ID_130,Group 1,198
ID_131,Group 3,151
ID_132,Group 3,115
ID_133,Group 3,237
ID_134,Group 2,178
ID_135,Group 1,275
ID_136,Group 2,178
ID_137,Group 3,267
ID_138,Group 1,95
ID_139,Group 1,108
ID_140,Group 2,77
ID_141,Group 1,299
ID_142,Group 3,222
ID_143,Group 1,85
ID_144,Group 1,273
ID_145,Group 3,115
ID_146,Group 1,290
ID_147,Group 2,269
ID_148,Group 2,97
ID_149,Group 1,229
ID_150,Group 3,176
ID_151,Group 2,164
ID_152,Group 3,172
ID_153,Group 1,222
ID_154,Group 1,285
ID_155,Group 2,153
ID_156,Group 3,132
ID_157,Group 2,156
ID_158,Group 1,260
ID_159,Group 2,201
